country,id,ppp1990,ppp1995,ppp2000,ppp2005,le1990,le1995,le2000,le2005,cal1990,cal1995,cal2000,cal2005
Samoa,882,2366.221373,2695.683073,3436.443233,4760.852821,65.04041463,67.51502439,69.48731707,70.99692683,2550,2520,2810,2890
Saudi Arabia,682,22798.33603,25850.87277,29379.22458,34197.93142,69.14897561,71.04241463,72.6147561,73.9382439,2850,2940,3010,3120
Senegal,686,1201.075336,1294.771042,1518.936628,1874.722423,57.18309756,57.37960976,57.77426829,60.54970732,2190,2140,2140,2280
Serbia,688,4925.364701,4925.364701,5778.006199,8860.55613,71.2,71.4,71.58292683,72.83414634,2850,2970,2630,2700
Seychelles,690,9077.773317,10950.64122,14538.26979,15755.37442,70.2013415,71.042683,72.1841465,72.13170732,2280,2320,2390,2400
Sierra Leone,694,862.4138913,759.0834839,797.0890385,1030.883008,37.35736585,35.82012195,38.11160976,42.14521951,1950,2060,1990,2120
Slovakia,703,6996.912361,8479.594224,11159.59021,16574.03346,70.93268293,72.25365854,73.05121951,73.90487805,2900,2910,2790,2900
Slovenia,705,11077.95,13242.71201,17882.38804,23887.78075,73.20487805,73.95853659,75.41219512,77.61219512,2900,2990,3060,3220
Solomon Islands,90,1149.185721,1651.611618,1359.182848,1413.060378,56.7047561,59.69595122,62.83673171,65.5534878,2120,2320,2360,2400
South Africa,710,6705.010348,7100.152397,7868.267075,9911.899562,62.12007317,61.37002439,55.83687805,51.55734146,2820,2810,2900,3000
South Korea,410,8610.68521,13499.77958,18091.48546,24219.78886,71.2997561,73.39439024,75.83536585,78.43268293,2970,3050,3050,3040
Spain,724,13707.93637,16436.94275,21875.39072,27868.95195,76.83756098,77.98073171,78.96585366,80.17073171,3340,3320,3370,3260
Sri Lanka,144,2160.620452,2973.605022,3920.482076,5202.102524,69.6794878,69.42058537,71.15712195,73.60073171,2170,2250,2360,2370
Sudan,729,1203.298308,1497.582131,1898.734425,2523.432136,55.51446341,56.53307317,57.978,59.92636585,1960,2100,2150,2280
Suriname,740,6874.091468,7186.724151,7853.320279,10884.68459,67.50187805,67.80573171,67.92917073,68.8444878,2440,2490,2430,2460
Swaziland,748,3475.2589,4080.876309,4620.227397,5546.72637,59.34519512,56.39080488,48.66407317,45.86007317,2380,2190,2290,2290
Sweden,752,20099.44692,22778.36226,29384.53696,34332.32594,77.53682927,78.7404878,79.64390244,80.54634146,2990,3080,3110,3110
Switzerland,756,26765.45577,28986.84711,34509.28864,39152.87342,77.24243902,78.41707317,79.6804878,81.23658537,3370,3320,3400,3450
Tajikistan,762,2351.930251,923.5747738,939.7361119,1530.47761,62.86478049,62.3904878,63.77173171,65.67846341,2020,1940,1900,2190
Thailand,764,944.4490533,991.3079287,1170.664541,1620.177029,70.41112195,70.5325122,70.91658537,72.32841463,2080,1910,1940,2020
Togo,768,4120.368115,6741.788673,7085.174539,9705.549375,55.84843902,54.72787805,53.54534146,54.14317073,2250,2430,2460,2540
Tonga,776,873.3338367,874.1876703,1034.148166,1078.103351,69.58231707,70.11926829,70.76043902,71.45334146,1890,2010,2030,2150
Trinidad and Tobago,780,8710.735892,10249.96783,14046.10275,22649.61985,68.02290244,68.3837561,68.59795122,69.00778049,2610,2570,2700,2700
Tunisia,788,3559.644554,4418.427596,5916.081551,7752.190347,70.30731707,71.35365854,72.6,73.50243902,3120,3220,3250,3330
Turkey,792,4444.212381,5417.675515,9333.108538,11532.44515,64.28234146,66.98192683,69.99836585,72.42836585,3590,3500,3450,3500
Turkmenistan,795,5404.214649,3373.490214,4241.077109,5791.510788,62.67414634,63.0302439,63.89929268,64.43236585,2550,2560,2630,2740
Uganda,800,496.0366075,663.7554587,825.5639929,1083.840649,47.50065854,45.96621951,48.10936585,52.83992683,2280,2200,2280,2220
Ukraine,804,6797.784992,3707.616097,3818.241845,6478.355817,70.13658537,67.13707317,67.8595122,67.95682927,3040,2850,2980,3290
United Arab Emirates,784,74292.11793,77662.72051,85641.16895,91102.68291,71.72063415,73.12190244,74.40568293,75.58195122,3160,3130,3120,3170
United Kingdom,826,17549.28214,21072.56862,27339.99284,34525.4058,75.8804878,76.83658537,77.74146341,79.04878049,3240,3260,3410,3450
United States,840,23954.52342,28782.32524,36449.92954,44307.8326,75.21463415,75.62195122,76.63658537,77.33902439,3510,3570,3720,3750
Uruguay,858,6221.96182,8210.223412,9974.102504,11291.72272,72.53953659,73.53946341,74.66009756,75.72285366,2660,2740,2800,2840
Uzbekistan,860,1968.813764,1621.275684,1966.456938,2707.751948,66.68417073,66.31682927,66.94078049,67.34704878,2650,2670,2320,2560
Vanuatu,548,1649.563328,1904.491299,2237.921926,2323.671737,63.19685366,65.45934146,67.555,69.31685366,2530,2590,2630,2950
Venezuela,862,9406.488375,11231.06418,11462.01258,13337.91984,71.10773171,71.86526829,72.44414634,73.25378049,2460,2390,2420,2650
Vietnam,704,971.181565,1489.949495,2100.232521,3102.73784,70.51009756,72.14268293,73.63112195,74.62785366,2090,2310,2520,2780
Yemen,887,2226.375424,2659.502558,3184.351492,3824.316847,57.76419512,59.23641463,60.45785366,61.53492683,1980,1980,2010,2050
Zambia,894,1556.977867,1536.984913,1745.203457,2332.30496,43.82014634,40.94753659,41.78312195,47.12834146,2010,1970,1890,1880
Zimbabwe,716,1637.866885,1762.724337,1997.895064,1504.0599,59.1337561,51.34102439,43.922,43.88839024,1980,1940,2010,2210
