FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
30,Food Preparation and Serving Related,3,257,13%,0.127843162,4030,31523,257,MT
30,"Building and Grounds, Cleaning and Maintenance",3,173,7%,0.071290323,1326,18600,173,MT
30,Personal Care and Service,3,197,8%,0.077900447,1637,21014,197,MT
30,Sales and Related,3,408,8%,0.082338742,3684,44742,408,MT
30,Office and Administrative Support,3,619,5%,0.049723757,3330,66970,619,MT
30,"Farming, Fishing, and Forestry",3,107,10%,0.10060081,720,7157,107,MT
30,Construction and Extraction,3,302,7%,0.067651131,2199,32505,302,MT
30,"Installation, Maintenance, and Repair",3,162,6%,0.055255432,941,17030,162,MT
30,Production,3,201,14%,0.143392136,2910,20294,201,MT
30,Transportation and Material Moving,3,263,10%,0.100691688,2664,26457,263,MT
30,Military Specific,3,16,0%,0,0,1656,16,MT
31,Management,3,1180,4%,0.039032602,4243,108704,1180,NE
31,Business and Financial Operations,3,392,4%,0.037109241,1618,43601,392,NE
31,Computer and Mathematical,3,204,8%,0.080326839,1917,23865,204,NE
31,Architecture and Engineering,3,105,4%,0.038814067,415,10692,105,NE
31,"Life, Physical, and Social Science",3,64,0%,0.003817456,22,5763,64,NE
31,Community and Social Services,3,162,8%,0.080048787,1247,15578,162,NE
31,Legal,3,80,8%,0.077411168,732,9456,80,NE
31,"Education, Training, and Library",3,644,5%,0.045325337,2902,64026,644,NE
31,"Arts, Design, Entertainment, Sports, and Media",3,115,4%,0.038614375,447,11576,115,NE
31,Healthcare Practitioners and Technical,3,557,3%,0.031140802,1818,58380,557,NE
31,Healthcare Support,3,235,4%,0.042016163,1097,26109,235,NE
31,Protective Service,3,137,6%,0.05728059,808,14106,137,NE
31,Food Preparation and Serving Related,3,374,6%,0.062379421,2619,41985,374,NE
31,"Building and Grounds, Cleaning and Maintenance",3,305,10%,0.100678805,3174,31526,305,NE
31,Personal Care and Service,3,312,4%,0.042748092,1316,30785,312,NE
31,Sales and Related,3,876,7%,0.072808577,6757,92805,876,NE
31,Office and Administrative Support,3,1313,5%,0.052725413,7216,136860,1313,NE
31,"Farming, Fishing, and Forestry",3,151,4%,0.044615727,602,13493,151,NE
31,Construction and Extraction,3,484,5%,0.049440488,2430,49150,484,NE
31,"Installation, Maintenance, and Repair",3,358,2%,0.020944095,780,37242,358,NE
31,Production,3,622,10%,0.096679201,6402,66219,622,NE
31,Transportation and Material Moving,3,646,8%,0.081287058,5141,63245,646,NE
31,Military Specific,3,23,0%,0,0,2183,23,NE
32,Management,3,1053,6%,0.055266649,5707,103263,1053,NV
32,Business and Financial Operations,3,489,6%,0.056329382,2661,47240,489,NV
32,Computer and Mathematical,3,244,6%,0.063590971,1541,24233,244,NV
32,Architecture and Engineering,3,157,6%,0.05901571,849,14386,157,NV
32,"Life, Physical, and Social Science",3,72,12%,0.119687062,1025,8564,72,NV
32,Community and Social Services,3,115,5%,0.049910264,584,11701,115,NV
32,Legal,3,106,6%,0.057328407,512,8931,106,NV
32,"Education, Training, and Library",3,597,7%,0.069996104,3773,53903,597,NV
32,"Arts, Design, Entertainment, Sports, and Media",3,249,7%,0.067571518,1618,23945,249,NV
32,Healthcare Practitioners and Technical,3,558,6%,0.064125966,3478,54237,558,NV
32,Healthcare Support,3,202,9%,0.088149123,2076,23551,202,NV
32,Protective Service,3,373,9%,0.091456261,3586,39210,373,NV
32,Food Preparation and Serving Related,3,1063,5%,0.054494462,6859,125866,1063,NV
32,"Building and Grounds, Cleaning and Maintenance",3,632,9%,0.085587943,6542,76436,632,NV
32,Personal Care and Service,3,747,8%,0.077205837,6196,80253,747,NV
32,Sales and Related,3,1341,6%,0.062944875,9241,146811,1341,NV
32,Office and Administrative Support,3,1690,8%,0.075947752,13094,172408,1690,NV
32,"Farming, Fishing, and Forestry",3,38,8%,0.075818753,338,4458,38,NV
32,Construction and Extraction,3,515,7%,0.070055032,4430,63236,515,NV
32,"Installation, Maintenance, and Repair",3,402,8%,0.081958477,3691,45035,402,NV
32,Production,3,388,9%,0.092364415,3883,42040,388,NV
32,Transportation and Material Moving,3,756,7%,0.073499742,6266,85252,756,NV
32,Military Specific,3,31,10%,0.098496835,249,2528,31,NV
33,Management,3,752,6%,0.056157731,4036,71869,752,NH
33,Business and Financial Operations,3,319,4%,0.037892551,1168,30824,319,NH
33,Computer and Mathematical,3,224,2%,0.022452879,517,23026,224,NH
33,Architecture and Engineering,3,199,6%,0.060447761,1053,17420,199,NH
33,"Life, Physical, and Social Science",3,61,1%,0.01095636,59,5385,61,NH
33,Community and Social Services,3,103,16%,0.160156632,1636,10215,103,NH
33,Legal,3,68,9%,0.088010777,588,6681,68,NH
33,"Education, Training, and Library",3,530,4%,0.037541972,1856,49438,530,NH
33,"Arts, Design, Entertainment, Sports, and Media",3,124,4%,0.042212267,490,11608,124,NH
33,Healthcare Practitioners and Technical,3,467,4%,0.039948454,1736,43456,467,NH
33,Healthcare Support,3,138,7%,0.071443464,1028,14389,138,NH
33,Protective Service,3,111,8%,0.081693157,992,12143,111,NH
33,Food Preparation and Serving Related,3,275,4%,0.044814341,1470,32802,275,NH
33,"Building and Grounds, Cleaning and Maintenance",3,229,7%,0.069680973,1518,21785,229,NH
33,Personal Care and Service,3,243,4%,0.040278356,1065,26441,243,NH
33,Sales and Related,3,691,6%,0.063093989,4448,70498,691,NH
33,Office and Administrative Support,3,914,6%,0.060115963,5661,94168,914,NH
33,"Farming, Fishing, and Forestry",3,32,13%,0.129737206,469,3615,32,NH
33,Construction and Extraction,3,339,5%,0.051119902,1835,35896,339,NH
33,"Installation, Maintenance, and Repair",3,250,6%,0.05786924,1541,26629,250,NH
33,Production,3,447,9%,0.086404037,3801,43991,447,NH
33,Transportation and Material Moving,3,301,11%,0.11450934,3482,30408,301,NH
33,Military Specific,3,6,0%,0,0,894,6,NH
34,Management,3,4903,3%,0.03319549,15252,459460,4903,NJ
34,Business and Financial Operations,3,2636,4%,0.042351982,10699,252621,2636,NJ
34,Computer and Mathematical,3,1584,3%,0.03359369,5230,155684,1584,NJ
34,Architecture and Engineering,3,723,3%,0.030461232,2048,67233,723,NJ
34,"Life, Physical, and Social Science",3,442,4%,0.039618736,1646,41546,442,NJ
34,Community and Social Services,3,695,5%,0.051256551,3247,63348,695,NJ
34,Legal,3,664,4%,0.036655332,2102,57345,664,NJ
34,"Education, Training, and Library",3,3137,5%,0.045777378,13284,290187,3137,NJ
34,"Arts, Design, Entertainment, Sports, and Media",3,862,4%,0.035949055,2975,82756,862,NJ
34,Healthcare Practitioners and Technical,3,2478,4%,0.03607412,8636,239396,2478,NJ
34,Healthcare Support,3,945,5%,0.052366405,5571,106385,945,NJ
34,Protective Service,3,938,4%,0.036923259,3738,101237,938,NJ
34,Food Preparation and Serving Related,3,1637,5%,0.05085167,9616,189099,1637,NJ
34,"Building and Grounds, Cleaning and Maintenance",3,1281,8%,0.078236859,12382,158263,1281,NJ
34,Personal Care and Service,3,1378,5%,0.052504662,8165,155510,1378,NJ
34,Sales and Related,3,4507,4%,0.04083978,19190,469885,4507,NJ
34,Office and Administrative Support,3,5747,6%,0.058989038,33272,564037,5747,NJ
34,"Farming, Fishing, and Forestry",3,86,9%,0.087660354,574,6548,86,NJ
34,Construction and Extraction,3,1652,4%,0.040971103,7628,186180,1652,NJ
34,"Installation, Maintenance, and Repair",3,1117,6%,0.056998588,6739,118231,1117,NJ
34,Production,3,1578,5%,0.054521592,9430,172959,1578,NJ
34,Transportation and Material Moving,3,2456,6%,0.058493381,16425,280801,2456,NJ
34,Military Specific,3,32,2%,0.015980823,40,2503,32,NJ
35,Management,3,760,6%,0.061238485,4733,77288,760,NM
35,Business and Financial Operations,3,320,7%,0.06780036,2145,31637,320,NM
35,Computer and Mathematical,3,156,7%,0.068775952,1176,17099,156,NM
35,Architecture and Engineering,3,197,4%,0.04142449,841,20302,197,NM
35,"Life, Physical, and Social Science",3,119,9%,0.092160027,1085,11773,119,NM
35,Community and Social Services,3,170,10%,0.099311278,1615,16262,170,NM
35,Legal,3,88,4%,0.041939994,390,9299,88,NM
35,"Education, Training, and Library",3,595,5%,0.052805873,3237,61300,595,NM
35,"Arts, Design, Entertainment, Sports, and Media",3,128,10%,0.098901844,1459,14752,128,NM
35,Healthcare Practitioners and Technical,3,407,7%,0.072397171,3214,44394,407,NM
35,Healthcare Support,3,188,8%,0.079618979,1772,22256,188,NM
35,Protective Service,3,201,8%,0.084190513,1727,20513,201,NM
35,Food Preparation and Serving Related,3,417,7%,0.067740083,3656,53971,417,NM
35,"Building and Grounds, Cleaning and Maintenance",3,312,14%,0.13965294,5392,38610,312,NM
35,Personal Care and Service,3,360,13%,0.126899541,4977,39220,360,NM
35,Sales and Related,3,660,8%,0.082830766,6469,78099,660,NM
35,Office and Administrative Support,3,1009,8%,0.075446555,8549,113312,1009,NM
35,"Farming, Fishing, and Forestry",3,86,5%,0.050283554,532,10580,86,NM
35,Construction and Extraction,3,505,12%,0.116221881,7042,60591,505,NM
35,"Installation, Maintenance, and Repair",3,290,4%,0.040749728,1461,35853,290,NM
35,Production,3,252,10%,0.098281224,3002,30545,252,NM
35,Transportation and Material Moving,3,416,8%,0.076837374,4000,52058,416,NM
35,Military Specific,3,33,0%,0,0,2523,33,NM
36,Management,3,8953,4%,0.037980591,33207,874315,8953,NY
36,Business and Financial Operations,3,4547,3%,0.034096742,16009,469517,4547,NY
36,Computer and Mathematical,3,2102,3%,0.026939546,5826,216262,2102,NY
36,Architecture and Engineering,3,1328,3%,0.027020181,3307,122390,1328,NY
36,"Life, Physical, and Social Science",3,808,3%,0.033912324,2583,76167,808,NY
36,Community and Social Services,3,1909,6%,0.064170748,11909,185583,1909,NY
36,Legal,3,1613,3%,0.028447641,4826,169645,1613,NY
36,"Education, Training, and Library",3,7049,3%,0.033400175,22053,660266,7049,NY
36,"Arts, Design, Entertainment, Sports, and Media",3,2553,4%,0.036887647,10517,285109,2553,NY
36,Healthcare Practitioners and Technical,3,5466,3%,0.03245018,17158,528749,5466,NY
36,Healthcare Support,3,2931,6%,0.058531195,19598,334830,2931,NY
36,Protective Service,3,2514,5%,0.049646419,13002,261892,2514,NY
36,Food Preparation and Serving Related,3,4296,4%,0.044698307,22686,507536,4296,NY
36,"Building and Grounds, Cleaning and Maintenance",3,3453,8%,0.077013166,30446,395335,3453,NY
36,Personal Care and Service,3,3478,6%,0.060220959,23248,386045,3478,NY
36,Sales and Related,3,8774,4%,0.040213874,37906,942610,8774,NY
36,Office and Administrative Support,3,12282,5%,0.052342886,63029,1204156,12282,NY
36,"Farming, Fishing, and Forestry",3,275,4%,0.039682899,876,22075,275,NY
36,Construction and Extraction,3,3770,4%,0.037021572,15339,414326,3770,NY
36,"Installation, Maintenance, and Repair",3,2405,6%,0.061233092,14382,234873,2405,NY
36,Production,3,3785,7%,0.071581173,25598,357608,3785,NY
36,Transportation and Material Moving,3,4675,6%,0.056571053,28315,500521,4675,NY
36,Military Specific,3,203,5%,0.05133364,893,17396,203,NY
37,Management,3,4474,5%,0.049824141,21603,433585,4474,NC
37,Business and Financial Operations,3,2030,4%,0.038715555,7480,193204,2030,NC
37,Computer and Mathematical,3,1161,4%,0.037454886,4286,114431,1161,NC
37,Architecture and Engineering,3,741,4%,0.039219453,2858,72872,741,NC
37,"Life, Physical, and Social Science",3,407,3%,0.031869841,1332,41795,407,NC
37,Community and Social Services,3,795,4%,0.037618593,2839,75468,795,NC
37,Legal,3,369,2%,0.023030234,812,35258,369,NC
37,"Education, Training, and Library",3,2962,4%,0.03856447,10649,276135,2962,NC
37,"Arts, Design, Entertainment, Sports, and Media",3,754,5%,0.047707341,3525,73888,754,NC
37,Healthcare Practitioners and Technical,3,2682,5%,0.049295694,12854,260753,2682,NC
37,Healthcare Support,3,1168,8%,0.084075857,10587,125922,1168,NC
37,Protective Service,3,881,5%,0.0464763,4375,94134,881,NC
37,Food Preparation and Serving Related,3,2030,6%,0.059266901,15569,262693,2030,NC
37,"Building and Grounds, Cleaning and Maintenance",3,1411,9%,0.085521101,14242,166532,1411,NC
37,Personal Care and Service,3,1294,8%,0.078217766,11014,140812,1294,NC
37,Sales and Related,3,4396,6%,0.05975766,28027,469011,4396,NC
37,Office and Administrative Support,3,5430,7%,0.06500653,35440,545176,5430,NC
37,"Farming, Fishing, and Forestry",3,217,7%,0.069127746,1822,26357,217,NC
37,Construction and Extraction,3,1829,5%,0.050397718,10885,215982,1829,NC
37,"Installation, Maintenance, and Repair",3,1479,6%,0.062271275,9631,154662,1479,NC
37,Production,3,2893,8%,0.077880855,24413,313466,2893,NC
37,Transportation and Material Moving,3,2394,9%,0.085049905,22172,260694,2394,NC
37,Military Specific,3,537,5%,0.048702339,2584,53057,537,NC
38,Management,3,502,7%,0.071379482,3012,42197,502,ND
38,Business and Financial Operations,3,145,10%,0.098886706,1812,18324,145,ND
38,Computer and Mathematical,3,40,3%,0.025474646,106,4161,40,ND
38,Architecture and Engineering,3,49,1%,0.014285714,65,4550,49,ND
38,"Life, Physical, and Social Science",3,40,0%,0,0,5200,40,ND
38,Community and Social Services,3,52,4%,0.041555236,202,4861,52,ND
38,Legal,3,20,6%,0.063839091,146,2287,20,ND
38,"Education, Training, and Library",3,223,2%,0.019913533,456,22899,223,ND
38,"Arts, Design, Entertainment, Sports, and Media",3,48,8%,0.084438348,554,6561,48,ND
38,Healthcare Practitioners and Technical,3,205,4%,0.041863258,976,23314,205,ND
38,Healthcare Support,3,112,4%,0.038230428,439,11483,112,ND
38,Protective Service,3,63,1%,0.014635166,140,9566,63,ND
38,Food Preparation and Serving Related,3,181,7%,0.07240054,1394,19254,181,ND
38,"Building and Grounds, Cleaning and Maintenance",3,113,19%,0.19039524,1792,9412,113,ND
38,Personal Care and Service,3,123,4%,0.038005746,635,16708,123,ND
38,Sales and Related,3,326,5%,0.045112782,1728,38304,326,ND
38,Office and Administrative Support,3,502,7%,0.071241565,3864,54238,502,ND
38,"Farming, Fishing, and Forestry",3,67,6%,0.058043118,350,6030,67,ND
38,Construction and Extraction,3,242,5%,0.051830478,1437,27725,242,ND
38,"Installation, Maintenance, and Repair",3,159,3%,0.033160184,549,16556,159,ND
38,Production,3,206,5%,0.049489,983,19863,206,ND
38,Transportation and Material Moving,3,262,6%,0.063233516,1778,28118,262,ND
38,Military Specific,3,22,0%,0,0,2950,22,ND
39,Management,3,4958,5%,0.052113437,26039,499660,4958,OH
39,Business and Financial Operations,3,2411,4%,0.036814016,8926,242462,2411,OH
39,Computer and Mathematical,3,1214,4%,0.039308074,4822,122672,1214,OH
39,Architecture and Engineering,3,1010,4%,0.038705017,3858,99677,1010,OH
39,"Life, Physical, and Social Science",3,348,4%,0.036082474,1190,32980,348,OH
39,Community and Social Services,3,889,4%,0.043711819,3914,89541,889,OH
39,Legal,3,526,5%,0.047677161,2305,48346,526,OH
39,"Education, Training, and Library",3,3294,4%,0.041512053,12798,308296,3294,OH
39,"Arts, Design, Entertainment, Sports, and Media",3,854,7%,0.065667966,5440,82841,854,OH
39,Healthcare Practitioners and Technical,3,3543,4%,0.04266898,14607,342333,3543,OH
39,Healthcare Support,3,1568,6%,0.055473707,9338,168332,1568,OH
39,Protective Service,3,941,6%,0.061339265,5846,95306,941,OH
39,Food Preparation and Serving Related,3,2818,7%,0.070732411,22077,312120,2818,OH
39,"Building and Grounds, Cleaning and Maintenance",3,1870,11%,0.107740999,20187,187366,1870,OH
39,Personal Care and Service,3,1663,7%,0.072462763,12537,173013,1663,OH
39,Sales and Related,3,5156,6%,0.056389169,30237,536220,5156,OH
39,Office and Administrative Support,3,7418,6%,0.064257741,46336,721096,7418,OH
39,"Farming, Fishing, and Forestry",3,171,6%,0.061953887,1099,17739,171,OH
39,Construction and Extraction,3,2185,6%,0.063071725,13907,220495,2185,OH
39,"Installation, Maintenance, and Repair",3,1741,7%,0.067190655,11515,171378,1741,OH
39,Production,3,4680,9%,0.08599364,39024,453801,4680,OH
39,Transportation and Material Moving,3,3821,9%,0.089978708,34526,383713,3821,OH
39,Military Specific,3,44,0%,0,0,3798,44,OH
40,Management,3,1397,7%,0.072540752,10925,150605,1397,OK
40,Business and Financial Operations,3,643,6%,0.058153366,4400,75662,643,OK
40,Computer and Mathematical,3,250,4%,0.040195495,1283,31919,250,OK
40,Architecture and Engineering,3,235,9%,0.088745027,2632,29658,235,OK
40,"Life, Physical, and Social Science",3,87,4%,0.035751941,373,10433,87,OK
40,Community and Social Services,3,344,9%,0.08641769,3103,35907,344,OK
40,Legal,3,160,4%,0.037492979,801,21364,160,OK
40,"Education, Training, and Library",3,990,8%,0.075295778,8108,107682,990,OK
40,"Arts, Design, Entertainment, Sports, and Media",3,190,6%,0.060976147,1383,22681,190,OK
40,Healthcare Practitioners and Technical,3,854,7%,0.071584642,6749,94280,854,OK
40,Healthcare Support,3,397,8%,0.080080962,3363,41995,397,OK
40,Protective Service,3,327,10%,0.097131253,3396,34963,327,OK
40,Food Preparation and Serving Related,3,811,7%,0.066192674,6368,96204,811,OK
40,"Building and Grounds, Cleaning and Maintenance",3,573,11%,0.107733514,6677,61977,573,OK
40,Personal Care and Service,3,501,11%,0.105796947,5946,56202,501,OK
40,Sales and Related,3,1474,9%,0.088784993,15420,173678,1474,OK
40,Office and Administrative Support,3,2120,7%,0.065191243,15609,239434,2120,OK
40,"Farming, Fishing, and Forestry",3,123,12%,0.117440929,1173,9988,123,OK
40,Construction and Extraction,3,1092,8%,0.083422024,10033,120268,1092,OK
40,"Installation, Maintenance, and Repair",3,689,11%,0.111672794,8019,71808,689,OK
40,Production,3,1212,9%,0.090645425,11220,123779,1212,OK
40,Transportation and Material Moving,3,1086,10%,0.099303263,10889,109654,1086,OK
40,Military Specific,3,81,3%,0.027119056,223,8223,81,OK
41,Management,3,1923,5%,0.05365803,9825,183104,1923,OR
41,Business and Financial Operations,3,756,5%,0.051135903,3786,74038,756,OR
41,Computer and Mathematical,3,502,5%,0.048338065,2401,49671,502,OR
41,Architecture and Engineering,3,411,4%,0.038208135,1502,39311,411,OR
41,"Life, Physical, and Social Science",3,205,2%,0.018784297,356,18952,205,OR
41,Community and Social Services,3,363,12%,0.118679021,4201,35398,363,OR
41,Legal,3,208,5%,0.049601546,1027,20705,208,OR
41,"Education, Training, and Library",3,1112,5%,0.054739501,5288,96603,1112,OR
41,"Arts, Design, Entertainment, Sports, and Media",3,412,7%,0.073746093,2973,40314,412,OR
41,Healthcare Practitioners and Technical,3,1004,4%,0.038267981,3650,95380,1004,OR
41,Healthcare Support,3,370,11%,0.106250935,4263,40122,370,OR
41,Protective Service,3,294,8%,0.084317805,2391,28357,294,OR
41,Food Preparation and Serving Related,3,878,5%,0.052437558,6017,114746,878,OR
41,"Building and Grounds, Cleaning and Maintenance",3,570,15%,0.147707436,9223,62441,570,OR
41,Personal Care and Service,3,734,11%,0.108184067,8661,80058,734,OR
41,Sales and Related,3,1732,5%,0.050360214,9388,186417,1732,OR
41,Office and Administrative Support,3,2242,8%,0.079848401,17887,224012,2242,OR
41,"Farming, Fishing, and Forestry",3,295,12%,0.116370424,4177,35894,295,OR
41,Construction and Extraction,3,679,7%,0.074601985,5773,77384,679,OR
41,"Installation, Maintenance, and Repair",3,486,8%,0.079871742,3861,48340,486,OR
41,Production,3,999,7%,0.069286994,8086,116703,999,OR
41,Transportation and Material Moving,3,924,9%,0.087398515,8838,101123,924,OR
41,Military Specific,3,14,14%,0.144781145,129,891,14,OR
42,Management,3,5357,4%,0.042290146,22785,538778,5357,PA
42,Business and Financial Operations,3,2813,4%,0.03597186,10978,305183,2813,PA
42,Computer and Mathematical,3,1348,2%,0.024318185,3490,143514,1348,PA
42,Architecture and Engineering,3,1069,4%,0.043407241,4677,107747,1069,PA
42,"Life, Physical, and Social Science",3,627,5%,0.048368183,3176,65663,627,PA
42,Community and Social Services,3,1189,6%,0.057587271,6790,117908,1189,PA
42,Legal,3,652,5%,0.050339742,3645,72408,652,PA
42,"Education, Training, and Library",3,3578,3%,0.034218187,11872,346950,3578,PA
42,"Arts, Design, Entertainment, Sports, and Media",3,919,4%,0.043827367,4192,95648,919,PA
42,Healthcare Practitioners and Technical,3,4076,4%,0.040825605,16702,409106,4076,PA
42,Healthcare Support,3,1653,7%,0.065483041,11323,172915,1653,PA
42,Protective Service,3,1114,5%,0.050090081,5644,112677,1114,PA
42,Food Preparation and Serving Related,3,2875,7%,0.071732823,22819,318111,2875,PA
42,"Building and Grounds, Cleaning and Maintenance",3,1988,9%,0.089570938,18231,203537,1988,PA
42,Personal Care and Service,3,1954,8%,0.075020498,15463,206117,1954,PA
42,Sales and Related,3,5684,6%,0.061260027,36939,602987,5684,PA
42,Office and Administrative Support,3,8318,6%,0.057341232,47438,827293,8318,PA
42,"Farming, Fishing, and Forestry",3,279,4%,0.04305433,1073,24922,279,PA
42,Construction and Extraction,3,2827,6%,0.061225407,16344,266948,2827,PA
42,"Installation, Maintenance, and Repair",3,2054,6%,0.06220123,11997,192874,2054,PA
42,Production,3,4041,8%,0.079254041,29298,369672,4041,PA
42,Transportation and Material Moving,3,4281,8%,0.083587006,34461,412277,4281,PA
42,Military Specific,3,24,0%,0,0,3230,24,PA
44,Management,3,496,2%,0.020874904,952,45605,496,RI
44,Business and Financial Operations,3,235,2%,0.019693873,395,20057,235,RI
44,Computer and Mathematical,3,134,5%,0.04877856,617,12649,134,RI
44,Architecture and Engineering,3,102,3%,0.032453976,342,10538,102,RI
44,"Life, Physical, and Social Science",3,55,2%,0.018399264,100,5435,55,RI
44,Community and Social Services,3,105,8%,0.076961222,776,10083,105,RI
44,Legal,3,70,7%,0.07314829,477,6521,70,RI
44,"Education, Training, and Library",3,403,4%,0.03865621,1390,35958,403,RI
44,"Arts, Design, Entertainment, Sports, and Media",3,121,2%,0.019279279,214,11100,121,RI
44,Healthcare Practitioners and Technical,3,336,5%,0.04684582,1480,31593,336,RI
44,Healthcare Support,3,156,5%,0.054143709,963,17786,156,RI
44,Protective Service,3,130,4%,0.037114636,496,13364,130,RI
44,Food Preparation and Serving Related,3,280,7%,0.072190895,2266,31389,280,RI
44,"Building and Grounds, Cleaning and Maintenance",3,153,7%,0.073594568,1279,17379,153,RI
44,Personal Care and Service,3,207,9%,0.089250632,1908,21378,207,RI
44,Sales and Related,3,576,6%,0.057175518,3051,53362,576,RI
44,Office and Administrative Support,3,728,7%,0.065076532,4630,71147,728,RI
44,"Farming, Fishing, and Forestry",3,20,15%,0.150280899,214,1424,20,RI
44,Construction and Extraction,3,197,5%,0.053785047,1151,21400,197,RI
44,"Installation, Maintenance, and Repair",3,142,8%,0.077787946,1190,15298,142,RI
44,Production,3,321,8%,0.079040703,2808,35526,321,RI
44,Transportation and Material Moving,3,236,3%,0.033159878,924,27865,236,RI
44,Military Specific,3,18,0%,0,0,1340,18,RI
45,Management,3,1916,6%,0.055187197,10504,190334,1916,SC
45,Business and Financial Operations,3,894,4%,0.044379598,3939,88757,894,SC
45,Computer and Mathematical,3,360,4%,0.04457757,1518,34053,360,SC
45,Architecture and Engineering,3,381,2%,0.023687967,863,36432,381,SC
45,"Life, Physical, and Social Science",3,141,9%,0.087044839,1157,13292,141,SC
45,Community and Social Services,3,388,9%,0.092165242,3235,35100,388,SC
45,Legal,3,205,2%,0.016794762,295,17565,205,SC
45,"Education, Training, and Library",3,1372,5%,0.053036222,6788,127988,1372,SC
45,"Arts, Design, Entertainment, Sports, and Media",3,275,4%,0.039201038,997,25433,275,SC
45,Healthcare Practitioners and Technical,3,1182,4%,0.036898002,4256,115345,1182,SC
45,Healthcare Support,3,417,8%,0.082100902,3725,45371,417,SC
45,Protective Service,3,484,11%,0.108928773,5790,53154,484,SC
45,Food Preparation and Serving Related,3,1081,7%,0.067813687,9625,141933,1081,SC
45,"Building and Grounds, Cleaning and Maintenance",3,790,11%,0.112423581,10298,91600,790,SC
45,Personal Care and Service,3,630,8%,0.078041155,5192,66529,630,SC
45,Sales and Related,3,2170,6%,0.058325584,13422,230122,2170,SC
45,Office and Administrative Support,3,2767,6%,0.061013182,16853,276219,2767,SC
45,"Farming, Fishing, and Forestry",3,87,11%,0.108472856,1069,9855,87,SC
45,Construction and Extraction,3,827,7%,0.069090624,7046,101982,827,SC
45,"Installation, Maintenance, and Repair",3,734,7%,0.068480114,5181,75657,734,SC
45,Production,3,1572,7%,0.074091913,12614,170248,1572,SC
45,Transportation and Material Moving,3,1135,7%,0.074583223,9565,128246,1135,SC
45,Military Specific,3,167,7%,0.074158154,1176,15858,167,SC
46,Management,3,595,6%,0.060314118,3437,56985,595,SD
46,Business and Financial Operations,3,136,6%,0.055293075,749,13546,136,SD
46,Computer and Mathematical,3,55,4%,0.035265363,202,5728,55,SD
46,Architecture and Engineering,3,48,2%,0.016199733,85,5247,48,SD
46,"Life, Physical, and Social Science",3,24,9%,0.085118703,294,3454,24,SD
46,Community and Social Services,3,82,13%,0.125074096,844,6748,82,SD
46,Legal,3,22,0%,0,0,2221,22,SD
46,"Education, Training, and Library",3,232,1%,0.00731143,158,21610,232,SD
46,"Arts, Design, Entertainment, Sports, and Media",3,59,4%,0.03762285,245,6512,59,SD
46,Healthcare Practitioners and Technical,3,238,5%,0.046720247,1151,24636,238,SD
46,Healthcare Support,3,87,17%,0.170729529,1912,11199,87,SD
46,Protective Service,3,58,4%,0.037111152,204,5497,58,SD
46,Food Preparation and Serving Related,3,194,12%,0.119156818,2702,22676,194,SD
46,"Building and Grounds, Cleaning and Maintenance",3,169,17%,0.170804241,2642,15468,169,SD
46,Personal Care and Service,3,165,9%,0.094290865,1569,16640,165,SD
46,Sales and Related,3,372,9%,0.085343635,3888,45557,372,SD
46,Office and Administrative Support,3,619,9%,0.089596563,5672,63306,619,SD
46,"Farming, Fishing, and Forestry",3,89,8%,0.078457228,476,6067,89,SD
46,Construction and Extraction,3,244,8%,0.075863363,2021,26640,244,SD
46,"Installation, Maintenance, and Repair",3,121,5%,0.051688171,669,12943,121,SD
46,Production,3,257,9%,0.088480687,2577,29125,257,SD
46,Transportation and Material Moving,3,254,10%,0.096879738,2428,25062,254,SD
46,Military Specific,3,15,0%,0,0,1737,15,SD
47,Management,3,2575,5%,0.054535553,13919,255228,2575,TN
47,Business and Financial Operations,3,1278,5%,0.049226921,6062,123144,1278,TN
47,Computer and Mathematical,3,546,7%,0.070110426,3765,53701,546,TN
47,Architecture and Engineering,3,433,7%,0.06559394,2719,41452,433,TN
47,"Life, Physical, and Social Science",3,204,3%,0.027913759,536,19202,204,TN
47,Community and Social Services,3,488,8%,0.075545933,3629,48037,488,TN
47,Legal,3,299,4%,0.039838463,1095,27486,299,TN
47,"Education, Training, and Library",3,1862,5%,0.052475483,9059,172633,1862,TN
47,"Arts, Design, Entertainment, Sports, and Media",3,491,6%,0.063346856,3123,49300,491,TN
47,Healthcare Practitioners and Technical,3,1848,5%,0.05095413,9100,178592,1848,TN
47,Healthcare Support,3,596,9%,0.092759622,6006,64748,596,TN
47,Protective Service,3,563,8%,0.077229258,4482,58035,563,TN
47,Food Preparation and Serving Related,3,1361,8%,0.083074993,13506,162576,1361,TN
47,"Building and Grounds, Cleaning and Maintenance",3,977,12%,0.119852871,12545,104670,977,TN
47,Personal Care and Service,3,867,8%,0.077110986,7134,92516,867,TN
47,Sales and Related,3,2962,7%,0.068012146,21345,313841,2962,TN
47,Office and Administrative Support,3,3875,6%,0.062618716,24758,395377,3875,TN
47,"Farming, Fishing, and Forestry",3,114,2%,0.022627396,242,10695,114,TN
47,Construction and Extraction,3,1277,7%,0.068891686,9524,138246,1277,TN
47,"Installation, Maintenance, and Repair",3,1001,10%,0.097706373,9998,102327,1001,TN
47,Production,3,2335,8%,0.075698536,18436,243545,2335,TN
