FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
21,Computer and Mathematical,3,326,6%,0.062925701,2014,32006,326,KY
21,Architecture and Engineering,3,311,6%,0.056921488,1653,29040,311,KY
21,"Life, Physical, and Social Science",3,108,4%,0.043514998,412,9468,108,KY
21,Community and Social Services,3,373,8%,0.079939053,2938,36753,373,KY
21,Legal,3,209,6%,0.055253414,955,17284,209,KY
21,"Education, Training, and Library",3,1283,5%,0.04819377,5814,120638,1283,KY
21,"Arts, Design, Entertainment, Sports, and Media",3,251,6%,0.055843408,1261,22581,251,KY
21,Healthcare Practitioners and Technical,3,1291,5%,0.053178479,6566,123471,1291,KY
21,Healthcare Support,3,455,6%,0.062779029,3178,50622,455,KY
21,Protective Service,3,347,9%,0.087578824,2986,34095,347,KY
21,Food Preparation and Serving Related,3,889,9%,0.088561395,8978,101376,889,KY
21,"Building and Grounds, Cleaning and Maintenance",3,657,12%,0.116295942,8015,68919,657,KY
21,Personal Care and Service,3,584,10%,0.10394817,6145,59116,584,KY
21,Sales and Related,3,1802,7%,0.074668662,13972,187120,1802,KY
21,Office and Administrative Support,3,2705,7%,0.074028468,19118,258252,2705,KY
21,"Farming, Fishing, and Forestry",3,138,6%,0.059759803,826,13822,138,KY
21,Construction and Extraction,3,885,7%,0.071486646,7034,98396,885,KY
21,"Installation, Maintenance, and Repair",3,667,8%,0.078227867,5359,68505,667,KY
21,Production,3,1577,7%,0.069255908,11719,169213,1577,KY
21,Transportation and Material Moving,3,1393,9%,0.085570138,12551,146675,1393,KY
21,Military Specific,3,96,13%,0.125478781,819,6527,96,KY
22,Management,3,1618,6%,0.05655982,9299,164410,1618,LA
22,Business and Financial Operations,3,738,6%,0.061205273,4550,74340,738,LA
22,Computer and Mathematical,3,242,4%,0.039034412,988,25311,242,LA
22,Architecture and Engineering,3,370,5%,0.049396482,1772,35873,370,LA
22,"Life, Physical, and Social Science",3,160,3%,0.026400795,425,16098,160,LA
22,Community and Social Services,3,300,9%,0.085273973,2490,29200,300,LA
22,Legal,3,288,8%,0.075347042,2030,26942,288,LA
22,"Education, Training, and Library",3,1299,6%,0.055313207,6695,121038,1299,LA
22,"Arts, Design, Entertainment, Sports, and Media",3,277,5%,0.052993205,1396,26343,277,LA
22,Healthcare Practitioners and Technical,3,1238,4%,0.044243342,5637,127409,1238,LA
22,Healthcare Support,3,445,5%,0.048798841,2594,53157,445,LA
22,Protective Service,3,515,8%,0.083853275,4556,54333,515,LA
22,Food Preparation and Serving Related,3,1025,9%,0.086181101,10887,126327,1025,LA
22,"Building and Grounds, Cleaning and Maintenance",3,702,12%,0.124612459,9566,76766,702,LA
22,Personal Care and Service,3,678,10%,0.097058151,7641,78726,678,LA
22,Sales and Related,3,1850,5%,0.053438194,10994,205733,1850,LA
22,Office and Administrative Support,3,2597,6%,0.060877204,16077,264089,2597,LA
22,"Farming, Fishing, and Forestry",3,158,18%,0.181456871,2922,16103,158,LA
22,Construction and Extraction,3,1314,7%,0.068430369,10825,158190,1314,LA
22,"Installation, Maintenance, and Repair",3,751,6%,0.064194461,5266,82032,751,LA
22,Production,3,1079,7%,0.074836022,8945,119528,1079,LA
22,Transportation and Material Moving,3,1183,10%,0.098989788,12621,127498,1183,LA
22,Military Specific,3,74,10%,0.098252925,613,6239,74,LA
23,Management,3,536,7%,0.065085277,3652,56111,536,ME
23,Business and Financial Operations,3,211,10%,0.102981586,2511,24383,211,ME
23,Computer and Mathematical,3,82,4%,0.040494692,370,9137,82,ME
23,Architecture and Engineering,3,89,2%,0.018960941,200,10548,89,ME
23,"Life, Physical, and Social Science",3,63,6%,0.060143347,386,6418,63,ME
23,Community and Social Services,3,135,12%,0.118614719,1644,13860,135,ME
23,Legal,3,33,8%,0.077072539,238,3088,33,ME
23,"Education, Training, and Library",3,462,5%,0.047381081,2285,48226,462,ME
23,"Arts, Design, Entertainment, Sports, and Media",3,107,4%,0.041231951,494,11981,107,ME
23,Healthcare Practitioners and Technical,3,374,5%,0.050882038,2045,40191,374,ME
23,Healthcare Support,3,192,8%,0.077511913,1529,19726,192,ME
23,Protective Service,3,100,15%,0.149657977,1619,10818,100,ME
23,Food Preparation and Serving Related,3,281,6%,0.055533003,2052,36951,281,ME
23,"Building and Grounds, Cleaning and Maintenance",3,245,14%,0.139286607,3901,28007,245,ME
23,Personal Care and Service,3,210,7%,0.071576276,1523,21278,210,ME
23,Sales and Related,3,551,7%,0.065711368,4118,62668,551,ME
23,Office and Administrative Support,3,830,8%,0.081972252,7468,91104,830,ME
23,"Farming, Fishing, and Forestry",3,119,12%,0.119427403,1168,9780,119,ME
23,Construction and Extraction,3,368,8%,0.076713228,3037,39589,368,ME
23,"Installation, Maintenance, and Repair",3,219,7%,0.065925373,1500,22753,219,ME
23,Production,3,363,6%,0.059392542,2370,39904,363,ME
23,Transportation and Material Moving,3,360,10%,0.095066495,3324,34965,360,ME
