city1,city2,dist,vol,avg_fare,largest_carrier,mkt_share,avg_fare_largest_carrier,lowest_fare_carrier,mkt_share_lowest_fare,avg_fare_lowest_carrier
IDA,OAK,666,2.83,$442.82,DL,100.0,$442.82,DL,100.0,$442.82
IDA,ONT,717,2.28,$314.85,DL,95.2,$317.40,DL,95.2,$317.40
IDA,SFO,677,10.00,$320.40,DL,75.0,$289.07,DL,75.0,$289.07
IDA,SJC,670,1.96,$411.96,DL,77.8,$387.13,DL,77.8,$387.13
IDA,SNA,747,5.87,$326.74,DL,96.3,$328.86,DL,96.3,$328.86
ILG,TPA,899,85.76,$102.40,F9,99.0,$102.24,F9,99.0,$102.24
ILM,BUR,2300,1.09,$502.78,US,80.0,$501.40,US,80.0,$501.40
ILM,FLL,581,28.80,$196.19,US,71.7,$206.84,DL,25.3,$164.16
ILM,LAX,2307,49.46,$311.36,US,68.8,$315.68,DL,24.6,$302.71
ILM,LGB,2294,0.54,$541.20,US,60.0,$321.00,US,60.0,$321.00
ILM,MIA,601,23.37,$198.57,US,70.2,$203.89,DL,21.9,$178.84
ILM,OAK,2471,1.09,$334.13,US,50.0,$371.05,DL,20.0,$315.00
ILM,ONT,2260,1.63,$407.84,US,100.0,$407.84,US,100.0,$407.84
ILM,SFO,2481,40.65,$316.51,US,68.7,$322.28,UA,10.7,$280.20
ILM,SJC,2459,3.04,$389.78,US,60.7,$406.82,DL,28.6,$400.63
ILM,SNA,2280,5.43,$389.68,US,50.0,$441.37,DL,38.0,$322.51
ILM,TPA,513,35.00,$189.69,US,73.9,$195.90,DL,21.1,$166.97
IND,BUR,1805,32.28,$280.51,WN,74.8,$268.89,WN,74.8,$268.89
IND,FLL,1005,316.52,$196.91,FL,54.8,$176.24,FL,54.8,$176.24
IND,LAX,1814,629.02,$246.78,DL,29.8,$254.86,WN,19.1,$217.14
IND,LGB,1803,10.33,$265.49,US,71.6,$285.90,DL,25.3,$214.33
IND,MIA,1020,211.09,$215.73,AA,56.1,$223.01,DL,25.6,$195.40
IND,OAK,1933,71.96,$258.15,WN,67.8,$261.10,DL,16.6,$222.27
IND,ONT,1768,72.83,$262.23,WN,55.1,$255.79,AA,13.3,$217.28
IND,ORF,582,60.65,$232.18,US,43.4,$249.35,WN,10.0,$200.23
IND,PHF,561,14.78,$240.70,US,81.6,$242.66,DL,17.7,$234.12
IND,SFO,1943,348.37,$272.48,UA,28.8,$299.75,F9,14.0,$226.58
IND,SJC,1925,92.07,$266.10,WN,45.2,$264.12,DL,29.6,$249.62
IND,SNA,1792,145.98,$246.69,WN,23.0,$269.83,F9,15.6,$192.64
IND,TPA,837,684.13,$178.19,WN,37.2,$190.08,DL,18.1,$160.20
ISN,LAX,1244,6.09,$411.21,UA,75.0,$403.75,UA,75.0,$403.75
ISN,ONT,1213,1.63,$365.87,UA,86.7,$317.54,UA,86.7,$317.54
ISN,SNA,1243,3.59,$401.71,UA,72.7,$396.82,UA,72.7,$396.82
ISP,BUR,2500,0.43,$343.75,WN,100.0,$343.75,WN,100.0,$343.75
ISP,CVG,626,4.57,$248.72,US,97.6,$249.24,US,97.6,$249.24
ISP,FLL,1092,377.28,$183.88,WN,98.0,$183.26,WN,98.0,$183.26
ISP,FNT,569,1.63,$235.67,WN,100.0,$235.67,WN,100.0,$235.67
ISP,FSD,1224,0.11,$267.00,US,100.0,$267.00,US,100.0,$267.00
ISP,FWA,633,0.22,$355.50,US,100.0,$355.50,US,100.0,$355.50
ISP,GEG,2225,0.11,$702.00,US,100.0,$702.00,US,100.0,$702.00
ISP,GFK,1284,0.11,$658.00,,0.0,$0.00,,0.0,"$9,999.00"
