DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,INJURED,KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/13/2013,0:10,,,,,,NORTHERN BOULEVARD,60 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,240816,PASSENGER VEHICLE,LIVERY VEHICLE,,,
1/13/2013,10:09,BROOKLYN,11218,40.6426851,-73.9912114,"(40.6426851, -73.9912114)",FORT HAMILTON PARKWAY,40 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,131488,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
1/13/2013,18:45,QUEENS,11367,40.7293282,-73.8231121,"(40.7293282, -73.8231121)",MAIN STREET,70 AVENUE,,2,0,0,0,0,0,2,0,Prescription Medication,Unspecified,Unspecified,,,234733,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
1/13/2013,22:38,BROOKLYN,11207,40.6626738,-73.8973673,"(40.6626738, -73.8973673)",WILLIAMS AVENUE,RIVERDALE AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,165654,PASSENGER VEHICLE,,,,
1/13/2013,6:16,,,,,,UNION TURNPIKE,AUSTIN STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,205202,PASSENGER VEHICLE,,,,
1/13/2013,13:40,STATEN ISLAND,10306,40.5670897,-74.1216664,"(40.5670897, -74.1216664)",TYSENS LANE,8 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,296101,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,3:30,BROOKLYN,11203,40.6349472,-73.932499,"(40.6349472, -73.932499)",EAST 46 STREET,GLENWOOD ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,136847,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,8:40,,,,,,,,,1,0,0,0,0,0,1,0,Steering Failure,Unspecified,,,,3089832,PICK-UP TRUCK,BUS,,,
1/13/2013,19:00,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,2940774,OTHER,UNKNOWN,,,
1/13/2013,4:20,,,40.7429082,-73.8393082,"(40.7429082, -73.8393082)",,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3065288,PASSENGER VEHICLE,,,,
1/13/2013,0:20,QUEENS,11419,40.6913949,-73.820923,"(40.6913949, -73.820923)",101 AVENUE,125 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,205201,PASSENGER VEHICLE,,,,
1/13/2013,10:30,QUEENS,11361,40.7616851,-73.7603059,"(40.7616851, -73.7603059)",NORTHERN BOULEVARD,221 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,260855,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,10:50,MANHATTAN,10013,40.7161987,-74.0001371,"(40.7161987, -74.0001371)",BAXTER STREET,BAYARD STREET,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,6623,SPORT UTILITY / STATION WAGON,,,,
1/13/2013,11:25,MANHATTAN,10030,40.818472,-73.941392,"(40.818472, -73.941392)",WEST 140 STREET,7 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,66877,SPORT UTILITY / STATION WAGON,,,,
1/13/2013,11:40,BROOKLYN,11225,40.6633603,-73.9597381,"(40.6633603, -73.9597381)",EMPIRE BOULEVARD,MC KEEVER PLACE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,153439,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,12:00,BROOKLYN,11229,40.6103007,-73.9595215,"(40.6103007, -73.9595215)",AVENUE P,EAST 14 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,,117961,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,OTHER,
1/13/2013,12:50,QUEENS,11367,40.7286635,-73.8227712,"(40.7286635, -73.8227712)",MAIN STREET,70 ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,234730,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,13:00,MANHATTAN,10002,40.7142086,-73.9948417,"(40.7142086, -73.9948417)",DIVISION STREET,MARKET STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,6624,SPORT UTILITY / STATION WAGON,,,,
1/13/2013,13:20,MANHATTAN,10001,40.7508292,-74.001884,"(40.7508292, -74.001884)",WEST 28 STREET,10 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,18091,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
1/13/2013,13:35,BROOKLYN,11226,40.6399295,-73.9493822,"(40.6399295, -73.9493822)",NEWKIRK AVENUE,EAST 29 STREET,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,136848,PASSENGER VEHICLE,,,,
1/13/2013,13:40,BROOKLYN,11223,40.6099861,-73.9623778,"(40.6099861, -73.9623778)",AVENUE P,CONEY ISLAND AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,117962,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,13:56,BRONX,10459,40.8209858,-73.8916133,"(40.8209858, -73.8916133)",EAST 163 STREET,SOUTHERN BOULEVARD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,76969,SPORT UTILITY / STATION WAGON,,,,
1/13/2013,14:15,QUEENS,11419,40.6855673,-73.8334215,"(40.6855673, -73.8334215)",103 AVENUE,109 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,229565,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
1/13/2013,16:00,QUEENS,11436,40.6698241,-73.7888294,"(40.6698241, -73.7888294)",150 STREET,130 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,269396,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
1/13/2013,16:30,BROOKLYN,11207,40.6739812,-73.8993075,"(40.6739812, -73.8993075)",LIBERTY AVENUE,ALABAMA AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,165653,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,16:48,QUEENS,11417,40.6728276,-73.8384174,"(40.6728276, -73.8384174)",PITKIN AVENUE,97 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,229567,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
1/13/2013,16:55,,,,,,BRADDOCK AVENUE,221 PLACE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,222089,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PICK-UP TRUCK,PASSENGER VEHICLE
1/13/2013,17:30,QUEENS,11369,40.7586806,-73.8755111,"(40.7586806, -73.8755111)",93 STREET,32 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,281112,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
1/13/2013,17:50,BROOKLYN,11229,40.5966448,-73.9344102,"(40.5966448, -73.9344102)",BRIGHAM STREET,AVENUE W,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,117965,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
1/13/2013,18:00,BRONX,10452,40.8396059,-73.9181388,"(40.8396059, -73.9181388)",ELLIOT PLACE,JEROME AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,86242,SPORT UTILITY / STATION WAGON,BICYCLE,,,
1/13/2013,18:36,BROOKLYN,11234,40.6262104,-73.9276589,"(40.6262104, -73.9276589)",FLATLANDS AVENUE,UTICA AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,127032,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,18:50,BROOKLYN,11225,40.6661388,-73.9480682,"(40.6661388, -73.9480682)",NEW YORK AVENUE,CROWN STREET,,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,,,,153440,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,19:00,BROOKLYN,11230,40.6193973,-73.9695659,"(40.6193973, -73.9695659)",AVENUE L,OCEAN PARKWAY,,1,0,1,0,0,0,0,0,Unspecified,,,,,131495,UNKNOWN,,,,
1/13/2013,19:07,BROOKLYN,11219,40.6307894,-73.9956767,"(40.6307894, -73.9956767)",56 STREET,NEW UTRECHT AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,131492,SPORT UTILITY / STATION WAGON,,,,
1/13/2013,19:10,BROOKLYN,11219,40.6248223,-74.0027306,"(40.6248223, -74.0027306)",13 AVENUE,67 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,142047,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
1/13/2013,19:30,QUEENS,11422,40.6581534,-73.7381408,"(40.6581534, -73.7381408)",249 STREET,MAYDA ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,222094,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,1:39,BROOKLYN,11226,40.6539787,-73.9528241,"(40.6539787, -73.9528241)",ROGERS AVENUE,LENOX ROAD,,1,0,1,0,0,0,0,0,Passenger Distraction,,,,,136853,UNKNOWN,,,,
1/13/2013,20:30,BROOKLYN,11207,40.6756249,-73.8987786,"(40.6756249, -73.8987786)",ATLANTIC AVENUE,GEORGIA AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,165651,PASSENGER VEHICLE,,,,
1/13/2013,20:35,BROOKLYN,11224,40.5789366,-73.9852115,"(40.5789366, -73.9852115)",NEPTUNE AVENUE,WEST 17 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,114411,PASSENGER VEHICLE,,,,
1/13/2013,21:00,BROOKLYN,11223,40.6072565,-73.9672737,"(40.6072565, -73.9672737)",QUENTIN ROAD,OCEAN PARKWAY,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,117966,UNKNOWN,BICYCLE,,,
1/13/2013,21:20,BROOKLYN,11206,40.7065971,-73.9430846,"(40.7065971, -73.9430846)",GRAHAM AVENUE,JOHNSON AVENUE,,1,0,0,0,0,0,1,0,Physical Disability,Traffic Control Disregarded,,,,195116,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,21:20,STATEN ISLAND,10312,40.5455985,-74.1725659,"(40.5455985, -74.1725659)",POMPEY AVENUE,RYE AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,302140,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
1/13/2013,21:43,BROOKLYN,11203,40.6543385,-73.9470322,"(40.6543385, -73.9470322)",NEW YORK AVENUE,LENOX ROAD,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Unspecified,,,,136852,PASSENGER VEHICLE,BICYCLE,,,
1/13/2013,21:50,BROOKLYN,11230,40.6119531,-73.9681646,"(40.6119531, -73.9681646)",OCEAN PARKWAY,AVENUE O,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,131494,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
1/13/2013,23:00,MANHATTAN,10029,40.7921868,-73.9381937,"(40.7921868, -73.9381937)",EAST 110 STREET,1 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,56143,PASSENGER VEHICLE,OTHER,,,
1/13/2013,23:20,BRONX,10462,40.853685,-73.8691664,"(40.853685, -73.8691664)",BRONX PARK EAST,MARAN PLACE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,,104064,PASSENGER VEHICLE,OTHER,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
1/13/2013,2:00,QUEENS,11004,40.7387096,-73.7019118,"(40.7387096, -73.7019118)",HILLSIDE AVENUE,267 STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,222083,PASSENGER VEHICLE,,,,
